Dataset,Method,Metric,Mean,SE
BACE,PC-only,MCC,0.4979,0.0632
BACE,PC-only,AUC,0.8498,0.0313
BACE,Chemprop,MCC,0.5278,0.0683
BACE,Chemprop,AUC,0.8549,0.0327
BACE,GCN,MCC,0.4470,0.0707
BACE,GCN,AUC,0.7953,0.0391
BACE,"E2E LoRA (MolFormer, FL)",MCC,0.5658,0.0658
BACE,"E2E LoRA (MolFormer, FL)",AUC,0.8676,0.0318
BACE,"E2E LoRA (Uni-Mol, WL)",MCC,0.6234,0.0651
BACE,"E2E LoRA (Uni-Mol, WL)",AUC,0.8909,0.0275
BACE,"FT Embed (MolFormer, FL)",MCC,0.5571,0.0617
BACE,"FT Embed (MolFormer, FL)",AUC,0.8687,0.0309
BACE,"FT Embed+PC (MolFormer, WL)",MCC,0.5505,0.0633
BACE,"FT Embed+PC (MolFormer, WL)",AUC,0.8569,0.0315
BACE,"RAFE (MolFormer, WL)",MCC,0.5610,0.0403
BACE,"RAFE (MolFormer, WL)",AUC,0.8580,0.0283
BBBP,PC-only,MCC,0.7587,0.0434
BBBP,PC-only,AUC,0.9371,0.0209
BBBP,Chemprop,MCC,0.6196,0.0539
BBBP,Chemprop,AUC,0.9176,0.0210
BBBP,GCN,MCC,0.6942,0.0519
BBBP,GCN,AUC,0.9237,0.0206
BBBP,"E2E LoRA (MolFormer, FL)",MCC,0.7668,0.0448
BBBP,"E2E LoRA (MolFormer, FL)",AUC,0.9294,0.0240
BBBP,"E2E LoRA (Uni-Mol, WL)",MCC,0.7740,0.0475
BBBP,"E2E LoRA (Uni-Mol, WL)",AUC,0.9431,0.0186
BBBP,"FT Embed (MolFormer, FL)",MCC,0.7868,0.0439
BBBP,"FT Embed (MolFormer, FL)",AUC,0.9350,0.0214
BBBP,"FT Embed+PC (MolFormer, FL)",MCC,0.7886,0.0430
BBBP,"FT Embed+PC (MolFormer, FL)",AUC,0.9343,0.0220
BBBP,"RAFE (MolFormer, FL)",MCC,0.7980,0.0281
BBBP,"RAFE (MolFormer, FL)",AUC,0.9400,0.0166
CLINTOX,PC-only,MCC,0.8498,0.1019
CLINTOX,PC-only,AUC,0.9821,0.0134
CLINTOX,Chemprop,MCC,0.2820,0.1427
CLINTOX,Chemprop,AUC,0.9034,0.0314
CLINTOX,GCN,MCC,0.1929,0.1810
CLINTOX,GCN,AUC,0.8876,0.0538
CLINTOX,"E2E LoRA (MolFormer, FL)",MCC,0.8274,0.0756
CLINTOX,"E2E LoRA (MolFormer, FL)",AUC,0.9926,0.0060
CLINTOX,"E2E LoRA (Uni-Mol, FL)",MCC,0.2823,0.1173
CLINTOX,"E2E LoRA (Uni-Mol, FL)",AUC,0.9044,0.0305
CLINTOX,"FT Embed (ChemBERTa-MLM, FL)",MCC,0.8498,0.1021
CLINTOX,"FT Embed (ChemBERTa-MLM, FL)",AUC,0.9874,0.0094
CLINTOX,"FT Embed+PC (ChemBERTa-MLM, WL)",MCC,0.7859,0.0766
CLINTOX,"FT Embed+PC (ChemBERTa-MLM, WL)",AUC,0.9853,0.0092
CLINTOX,"RAFE (ChemBERTa-MLM, WL)",MCC,0.8270,0.0316
CLINTOX,"RAFE (ChemBERTa-MLM, WL)",AUC,0.9920,0.0074
FLAVOR,PC-only,MCC,0.8081,0.0108
FLAVOR,Chemprop,MCC,0.8086,0.0115
FLAVOR,GCN,MCC,0.7979,0.0118
FLAVOR,"E2E LoRA (MolFormer, WL)",MCC,0.8019,0.0115
FLAVOR,"E2E LoRA (Uni-Mol, WL)",MCC,0.7931,0.0113
FLAVOR,"FT Embed (ChemBERTa-MTR, FL)",MCC,0.7928,0.0111
FLAVOR,"FT Embed+PC (MolFormer, WL)",MCC,0.8012,0.0111
FLAVOR,"RAFE (MolFormer, WL)",MCC,0.8040,0.0102
DILI,PC-only,MCC,0.7645,0.0581
DILI,PC-only,AUC,0.9139,0.0291
DILI,Chemprop,MCC,0.5881,0.0808
DILI,Chemprop,AUC,0.8930,0.0346
DILI,GCN,MCC,0.7285,0.0600
DILI,GCN,AUC,0.8891,0.0351
DILI,"E2E LoRA (ChemBERTa-MTR, WL)",MCC,0.7704,0.0650
DILI,"E2E LoRA (ChemBERTa-MTR, WL)",AUC,0.9113,0.0324
